file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.174       {Russian River Brewing Company+Pliny the Elder}                                                                                                                                                     {Lagunitas Brewing Company+Lagunitas Sucks}-{Alpine Beer Company (CA)+Nelson}
0.006             0.174       {Russian River Brewing Company+Pliny the Elder}                                                                                                                                                     {Lagunitas Brewing Company+Lagunitas Sucks}-{Alpine Beer Company (CA)+Nelson}-{Ballast Point Brewing & Spirits+Victory at Sea}
0.006             0.174       {Russian River Brewing Company+Pliny the Elder}                                                                                                                                                     {Stone Brewing Co.+Delicious IPA}-{Lagunitas Brewing Company+Hop Stoopid}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Dogfish Head Craft Brewery+Punkin Ale}-{Figueroa Mountain Brewing Co.+Hurricane Deck}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Figueroa Mountain Brewing Co.+Danish Red Lager}-{Mother Earth Brew Co. (California)+Cali' Creamin'}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Firestone Walker Brewing Company+805 Blonde}-{Figueroa Mountain Brewing Co.+Danish Red Lager}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Firestone Walker Brewing Company+805 Blonde}-{Figueroa Mountain Brewing Co.+Danish Red Lager}-{Mother Earth Brew Co. (California)+Cali' Creamin'}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Firestone Walker Brewing Company+805 Blonde}-{Figueroa Mountain Brewing Co.+Hurricane Deck}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Firestone Walker Brewing Company+805 Blonde}-{Lagunitas Brewing Company+A Little Sumpin' Sumpin' Ale}
0.006             0.182       {Belching Beaver+Peanut Butter Milk Stout}                                                                                                                                                          {Firestone Walker Brewing Company+805 Blonde}-{Mother Earth Brew Co. (California)+Cali' Creamin'}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+805 Blonde}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Anchor Brewing Company+Anchor Steam Beer}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sierra Nevada Brewing Co.+Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sierra Nevada Brewing Co.+Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Kona Brewing Company+Fire Rock Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.190       {Firestone Walker Brewing Company+Easy Jack}                                                                                                                                                        {Firestone Walker Brewing Company+805 Blonde}-{Sierra Nevada Brewing Co.+Pale Ale}-{New Belgium Brewing Company+Fat Tire}
