id, brewery, beer
1956, Founders Brewing Co., Dirty Bastard (2014)
1627, Yuengling Brewery, Traditional Lager
1835, Clown Shoes, Space Cake
2348, Allagash Brewing Company, Session Brett Ale
2077, Black Market Brewing Co., 5th Anniversary - Kentucky Common Ale
3385, Thomas Creek Brewery, Up the Creek Extreme IPA
3780, BrewDog, Jack Hammer
2091, Coronado Brewing Company, Sock Knocker
3745, Evil Twin Brewing, Molotov Cocktail
3514, Automatic Brewing Co., Cape Townie
3292, Mother Earth Brew Co. (California), Cinco De Rye-O
549, Tap It Brewing Co, American Pale Ale
2062, New Belgium Brewing Company, Transatlantique Kriek (2014)
2043, Solvang Brewing Company, Zythos Extra IPA
1986, Mission Brewery, Malleus
1083, Founders Brewing Co., Dirty Bastard (2012)
3888, Barrel Trolley Brewing, Barrel Trolley India Pale Ale
381, Deschutes Brewery, Fresh Squeezed IPA
3398, Amplified Ale Works, Bearded Guard
1336, Pizza Port Brewing Co. , Abbey Mae IPA
1316, Oskar Blues Brewery, Dale's Pale Ale
682, Åbro Bryggeri, Rekorderlig Premium Wild Berries Hard Cider
406, Deschutes Brewery, Black Butte XXV
1255, Lagunitas Brewing Company, The Waldos' Special Ale (AKA Waldo's 420) (2015)
1852, Bottle Logic Brewing, Double Actuator
158, Barrel Harbor Brewing, Fenris IPA
2874, Pizza Port Brewing Co. , Ponto Session IPA
1461, Arrogant Bastard Brewing Co., Double Bastard Ale
186, Speakeasy Ales & Lagers, Payback Porter
3769, Old Schoolhouse Brewery, Imperial IPA (Brewer's Reserve)
2002, Highland Brewing Company, Devil's Britches
2272, BarrelHouse Brewing Co, Barrel Select Riesling Blonde Sour | Batch No. 1401
740, House Of Pendragon Brewing Co., Big Ass Zealous
2003, Bear Republic Brewing Co., Big Bear Black Stout™
1740, The Bruery, Sucré (Bourbon Barrel Aged)
1995, Highland Park Brewery, Fun Juice
3551, Cigar City Brewing, Moat Water
459, Boston Beer Company (Samuel Adams), Samuel Adams OctoberFest
2095, Brew Rebellion, John Paul Jones Stout White Chocolate And Raspberry
965, Heretic Brewing Company, Black Maria
2188, CraftHaus Brewery, Belgard Belgian Stout
3146, Santa Cruz Mountain Brewing, Pepe's Lavender IPA
855, BJ's Restaurant and Brewhouse, Nit Wit®
83, 21st Amendment Brewery , Hell or High Watermelon
2616, Ladyface Alehouse and Brasserie, La Trappistine
612, Noble Ale Works, The Financier
2645, The Commons Brewery, Biere Royale
1059, BJ's Restaurant and Brewhouse, Goliath™ Imperial Red Ale
1572, Cervecería Cuauhtémoc Moctezuma S.A. de C.V., Dos Equis Azul
1685, Boulevard Brewing Co., Long Strange Tripel
227, Deschutes Brewery, Not The Stoic
501, Plzeňský Prazdroj, Pilsner Urquell
199, Ballast Point Brewing & Spirits, Homework Series Batch #5 - Belgian Style Pale Ale
383, Rogue Ales & Spirits, Rogue Farms 7 Hop IPA
2972, AleSmith Brewing Company, Speedway Stout (Bird's Eye Thai Chili)
26, SweetWater Brewing Company , IPA
617, Dogfish Head Craft Brewery, 120 Minute IPA (2015)
1536, Anheuser-Busch, Bud Light Lime Lime-A-Rita
3252, Green Flash Brewing Co., Saison Diego
1621, Breckenridge Brewery, Christmas Ale
1672, Sierra Nevada Brewing Co., Maillard's Odyssey
3052, Green Flash Brewing Co., East Village Pilsner
1875, Left Coast Brewing, Barrel Aged Get In My Belly
479, BJ's Restaurant and Brewhouse, Jeremiah Red®
911, Brouwerij Het Anker, Gouden Carolus Christmas
3343, Ballast Point Brewing & Spirits, Indra Kunindra (Barrel Aged)
1253, Avery Brewing Company, Joe’s Premium American Pilsner
2648, FiftyFifty Brewing Co., Miso Hoppy
732, 21st Amendment Brewery , Hop Crisis
460, Firestone Walker Brewing Company, Oaktoberfest
1514, Modern Times Beer, Mega Black House
3838, Russian River Brewing Company, Consecration (Batch 031315)
3206, Ladyface Alehouse and Brasserie, Cataclysm Imperial Oatmeal IPA
3451, San Marcos Brewery & Grill, Old Goat's Oats
1464, Avery Brewing Company, The Beast Grand Cru
609, Noble Ale Works, Happy Danksgiving
